"lastname","firstname","articleNum","birthDate","birthMonth","birthDay","zodiac"
"Ananiashvili","Nina",10,"1963-03-28","3","28","Aries"
"Andersen","Hans Christian",12,"1805-04-02","4","2","Aries"
"Anderson","Kenny",1,"NA","NA","NA","NA"
"Anderson","Laurie",9,"1947-06-05","6","5","Gemini"
"Anderson","Michael P",0,"1959-12-25","12","25","Capricorn"
"Anderson","Wes",12,"1969-05-01","5","1","Taurus"
"Ando","Tadao",5,"1941-09-13","9","13","Virgo"
"Andreotti","Giulio",1,"1919-01-14","1","14","Capricorn"
"Andrews","Edmund L",4,"NA","NA","NA","NA"
"Andrews","Julie",10,"1935-10-01","10","1","Libra"
"Andrews","Robert E",8,"1957-08-04","8","4","Leo"
"Andsnes","Leif Ove",17,"1970-04-07","4","7","Aries"
"Angell","Marcia",5,"1939-04-20","4","20","Aries"
"Angelou","Maya",6,"1928-04-04","4","4","Aries"
"Angier","Natalie",2,"1958-02-16","2","16","Aquarius"
"Aniston","Jennifer",23,"1969-02-11","2","11","Aquarius"
"Annan","Kofi",152,"1938-04-08","4","8","Aries"
"Annenberg","Walter H",1,"1908-03-13","3","13","Pisces"
"Anthony","Carmelo",37,"1984-05-29","5","29","Gemini"
"Anthony","Marc",12,"1968-09-16","9","16","Virgo"
"Antley","Chris",0,"NA","NA","NA","NA"
"Antonioni","Michelangelo",12,"1912-09-29","9","29","Libra"
"Apatow","Judd",26,"1967-12-06","12","6","Sagittarius"
"Applebome","Peter",21,"NA","NA","NA","NA"
"Appleby","Stuart",9,"1971-05-01","5","1","Taurus"
"Apted","Michael",4,"1941-02-10","2","10","Aquarius"
"Arad","Michael",4,"1969-01-01","1","1","Capricorn"
"Arafat","Suha",1,"1963-07-17","7","17","Cancer"
"Arafat","Yasir",86,"1929-08-24","8","24","Virgo"
"Arar","Maher",34,"1970-01-01","1","1","Capricorn"
"Arbour","Louise",7,"1947-02-10","2","10","Aquarius"
"Arbus","Diane",11,"1923-03-14","3","14","Pisces"
"Archer","Jeffrey",0,"1940-04-15","4","15","Aries"
"Arena","Bruce",38,"1951-09-21","9","21","Virgo"
"Arenson","Karen W",2,"NA","NA","NA","NA"
"Argerich","Martha",5,"1941-06-05","6","5","Gemini"
"Aristide","Jean-Bertrand",24,"1953-07-15","7","15","Cancer"
"Arkin","Alan",8,"1934-03-26","3","26","Aries"
"Arledge","Roone",0,"1931-07-08","7","8","Cancer"
"Armani","Giorgio",27,"0007-01-01","1","1","Capricorn"
"Armey","Dick",11,"1940-07-07","7","7","Cancer"
"Armstead","Jessie",0,"1970-10-26","10","26","Scorpio"
"Armstrong","C Michael",1,"1938-10-18","10","18","Libra"
"Armstrong","Lance",251,"1971-09-18","9","18","Virgo"
"Armstrong","Louis",19,"1900-07-04","7","4","Cancer"
"Arnault","Bernard",8,"1949-03-05","3","5","Pisces"
"Arnett","Peter",0,"1934-11-13","11","13","Scorpio"
"Arnott","Jason",0,"1974-10-11","10","11","Libra"
"Arpaio","Joseph M",14,"1932-06-14","6","14","Gemini"
"Arroyo","Gloria Macapagal",38,"1947-04-05","4","5","Aries"
"Artest","Ron",36,"1979-11-13","11","13","Scorpio"
"Arum","Bob",1,"1931-12-08","12","8","Sagittarius"
"Arvedlund","Erin E",1,"NA","NA","NA","NA"
"Asahara","Shoko",0,"1955-03-02","3","2","Pisces"
"Ashbery","John",8,"1927-07-28","7","28","Leo"
"Ashcroft","John",67,"1942-05-09","5","9","Taurus"
"Ashe","Arthur",11,"1943-07-10","7","10","Cancer"
"Ashkenazy","Vladimir",1,"1937-07-06","7","6","Cancer"
"Ashley","Christopher",6,"NA","NA","NA","NA"
"Ashton","Frederick",22,"1904-01-01","1","1","Capricorn"
"Asimov","Eric",12,"1957-07-17","7","17","Cancer"
"Aso","Taro",25,"NA","NA","NA","NA"
"Aspan","Maria",0,"1982-01-01","1","1","Capricorn"
"Assad","Bashar Al-",61,"1965-09-11","9","11","Virgo"
"Assad","Hafez Al-",3,"1930-10-06","10","6","Libra"
"Assayas","Olivier",13,"1955-01-25","1","25","Aquarius"
"Astaire","Fred",9,"1899-05-10","5","10","Taurus"
"Astor","Brooke",150,"1902-03-30","3","30","Aries"
"Ataturk","Kemal",14,"1881-01-01","1","1","Capricorn"
"Atkins","Eileen",6,"1934-06-16","6","16","Gemini"
"Atta","Mohamed",5,"1968-09-01","9","1","Virgo"
"Atwood","Margaret",11,"1939-11-18","11","18","Scorpio"
"Auburn","David",4,"1969-11-30","11","30","Sagittarius"
"Auden","Wystan Hugh",6,"1907-02-21","2","21","Pisces"
"Audubon","John James",12,"1785-04-26","4","26","Taurus"
"Aung San Suu Kyi","Daw",83,"1945-06-19","6","19","Gemini"
"Auriemma","Geno",42,"1954-03-23","3","23","Aries"
"Austen","Jane",23,"1775-12-16","12","16","Sagittarius"
"Auster","Paul",12,"1947-02-03","2","3","Aquarius"
"Autissier","Isabelle",0,"1956-10-18","10","18","Libra"
"Avedon","Richard",18,"1923-05-15","5","15","Taurus"
"Avery","Milton",1,"1885-03-07","3","7","Pisces"
"Avery","Sean",35,"1980-04-10","4","10","Aries"
"Ax","Emanuel",21,"1949-06-08","6","8","Gemini"
"Axelrod","David",28,"1955-02-22","2","22","Pisces"
"Ayckbourn","Alan",15,"1939-04-12","4","12","Aries"
"Ayres","Ian",4,"1959-01-01","1","1","Capricorn"
"Azinger","Paul",8,"1960-01-06","1","6","Capricorn"
"Aznar","Jose Maria",2,"1953-02-25","2","25","Pisces"
"Babbitt","Bruce",3,"1938-06-27","6","27","Cancer"
"Babbitt","Milton",6,"1916-05-10","5","10","Taurus"
"Bacall","Lauren",12,"1924-09-16","9","16","Virgo"
"Bacanovic","Peter E",3,"NA","NA","NA","NA"
"Bach","Johann Sebastian",22,"1685-03-21","3","21","Aries"
"Bacharach","Burt",4,"1928-05-12","5","12","Taurus"
"Bacon","Kevin",13,"1958-07-08","7","8","Cancer"
"Badillo","Herman",1,"1929-08-21","8","21","Leo"
"Baez","Anthony Ramon",0,"1965-01-01","1","1","Capricorn"
"Baez","Joan",6,"1941-01-09","1","9","Capricorn"
"Baffert","Bob",24,"1953-01-13","1","13","Capricorn"
"Bai","Matt",0,"1968-09-09","9","9","Virgo"
"Bailey","Donovan",1,"1967-12-16","12","16","Sagittarius"
"Bailey","F Lee",1,"1933-06-10","6","10","Gemini"
"Bailey","Jerry",7,"1957-08-29","8","29","Virgo"
"Baitz","Jon Robin",9,"1961-11-04","11","4","Scorpio"
"Baiul","Oksana",2,"1977-11-16","11","16","Scorpio"
"Baker","Dusty",8,"1949-06-15","6","15","Gemini"
"Baker","Howard H Jr",0,"1925-11-15","11","15","Scorpio"
"Baker","James A III",48,"1930-04-28","4","28","Taurus"
"Baker","Nicholson",8,"1957-01-07","1","7","Capricorn"
"Baker","Vin",4,"1971-11-23","11","23","Sagittarius"
"Baker","William F",2,"NA","NA","NA","NA"
"Balaguer","Joaquin",1,"1906-09-01","9","1","Virgo"
"Balanchine","George",95,"1904-01-22","1","22","Aquarius"
"Baldrige","Letitia",6,"1926-02-09","2","9","Aquarius"
"Baldwin","Alec",38,"1958-04-03","4","3","Aries"
"Baldwin","William",0,"1963-02-21","2","21","Pisces"
"Bale","Christian",25,"1974-01-30","1","30","Aquarius"
"Ball","Lucille",3,"1911-08-06","8","6","Leo"
"Ballmer","Steven A",39,"1956-03-24","3","24","Aries"
"Baltimore","David",0,"1938-03-07","3","7","Pisces"
"Ban Ki-moon","NA",95,"1944-06-13","6","13","Gemini"
"Ban","Shigeru",7,"1957-08-05","8","5","Leo"
"Banderas","Antonio",5,"1960-08-10","8","10","Leo"
"Banks","Russell",5,"1940-03-28","3","28","Aries"
"Barak","Ehud",45,"1942-02-12","2","12","Aquarius"
"Baraka","Amiri",8,"1934-10-07","10","7","Libra"
"Baranski","Christine",6,"1952-05-02","5","2","Taurus"
"Barber","Samuel",12,"1910-03-09","3","9","Pisces"
"Barber","Tiki",69,"1975-04-07","4","7","Aries"
"Barbour","Haley",19,"1947-10-22","10","22","Libra"
"Bardem","Javier",15,"1969-03-01","3","1","Pisces"
"Bardot","Brigitte",5,"1934-09-28","9","28","Libra"
"Barenboim","Daniel",38,"1942-11-15","11","15","Scorpio"
"Barghouti","Marwan",10,"1959-06-06","6","6","Gemini"
"Barkley","Charles",10,"1963-02-20","2","20","Pisces"
"Barkley","Erick",1,"1978-02-21","2","21","Pisces"
"Barksdale","James L",0,"1943-01-24","1","24","Aquarius"
"Barnes","Albert C",5,"1872-01-02","1","2","Capricorn"
"Barnes","Julian",6,"1946-01-19","1","19","Capricorn"
"Barnes","Roy E",1,"1948-03-11","3","11","Pisces"
"Barnett","Gary",7,"1946-05-23","5","23","Gemini"
"Barney","Matthew",11,"1967-03-25","3","25","Aries"
"Barnicle","Mike",0,"1943-10-13","10","13","Libra"
"Barr","Bob",2,"1948-11-05","11","5","Scorpio"
"Barrionuevo","Alexei",0,"NA","NA","NA","NA"
"Barron","Charles",16,"1951-01-01","1","1","Capricorn"
"Barry","Dave",9,"1947-07-03","7","3","Cancer"
"Barry","Marion S Jr",5,"1936-03-06","3","6","Pisces"
"Barrymore","Drew",13,"1974-02-22","2","22","Pisces"
"Barshefsky","Charlene",2,"1950-08-11","8","11","Leo"
"Barstow","David",3,"1963-01-21","1","21","Aquarius"
"Bart","Peter",3,"1932-07-24","7","24","Leo"
"Barth","John",2,"1930-05-27","5","27","Gemini"
"Barthelme","Frederick",3,"1943-10-10","10","10","Libra"
"Bartlett","Bruce",7,"1951-10-11","10","11","Libra"
"Bartok","Bela",1,"1881-03-25","3","25","Aries"
"Bartoli","Cecilia",6,"1966-06-04","6","4","Gemini"
"Baryshnikov","Mikhail",24,"1948-01-27","1","27","Aquarius"
"Barzani","Massoud",8,"1946-08-16","8","16","Leo"
"Basayev","Shamil",12,"1965-01-14","1","14","Capricorn"
"Bashir","Abu Bakar",7,"1938-01-01","1","1","Capricorn"
"Bashir","Omar Hassan Al-",84,"1944-01-01","1","1","Capricorn"
"Basinger","Kim",8,"1953-12-08","12","8","Sagittarius"
"Bastianich","Joseph",8,"1968-09-17","9","17","Virgo"
"Batali","Mario",21,"1960-09-19","9","19","Virgo"
"Bates","John D",10,"1946-10-11","10","11","Libra"
"Bates","Kathy",6,"1948-06-28","6","28","Cancer"
"Battle","Kathleen",3,"1948-08-13","8","13","Leo"
"Batts","Deborah A",4,"1947-04-13","4","13","Aries"
"Baucus","Max",70,"1941-12-11","12","11","Sagittarius"
"Bauer","Gary L",1,"1946-05-04","5","4","Taurus"
"Bausch","Pina",14,"1940-07-27","7","27","Leo"
"Bay","Michael",11,"1965-02-17","2","17","Aquarius"
"Bayh","Evan",19,"1955-12-26","12","26","Capricorn"
"Bayley","John",1,"NA","NA","NA","NA"
"Baylor","Don",0,"1949-06-28","6","28","Cancer"
"Baz","Rashid",0,"NA","NA","NA","NA"
"Beame","Abraham D",5,"1906-03-20","3","20","Pisces"
"Beane","Billy",8,"1962-03-29","3","29","Aries"
"Beane","Douglas Carter",14,"NA","NA","NA","NA"
"Bearak","Barry",7,"1949-08-31","8","31","Virgo"
"Bearden","Milt",1,"1940-01-01","1","1","Capricorn"
"Bearden","Romare",3,"1911-09-02","9","2","Virgo"
"Beattie","Ann",4,"1947-09-08","9","8","Virgo"
"Beatty","Warren",9,"1937-03-30","3","30","Aries"
"Bechler","Steve",1,"1979-11-18","11","18","Scorpio"
"Beck","NA",11,"1970-07-08","7","8","Cancer"
"Becker","Boris",1,"1967-11-22","11","22","Scorpio"
"Becker","Elizabeth",0,"NA","NA","NA","NA"
"Beckett","Samuel",43,"1906-04-13","4","13","Aries"
"Beckham","David",87,"1975-05-02","5","2","Taurus"
"Beckinsale","Kate",9,"1973-07-26","7","26","Leo"
"Beckmann","Max",6,"1884-02-12","2","12","Aquarius"
"Beene","Geoffrey",2,"1924-08-30","8","30","Virgo"
"Beethoven","Ludwig van",79,"1770-12-16","12","16","Sagittarius"
"Begala","Paul",6,"1961-05-12","5","12","Taurus"
"Begley","Louis",4,"1933-10-06","10","6","Libra"
"Beilin","Yossi",1,"1948-06-12","6","12","Gemini"
"Belafonte","Harry",0,"1927-03-01","3","1","Pisces"
"Belichick","Bill",119,"1952-04-16","4","16","Aries"
"Bell","Derrick",0,"1930-11-06","11","6","Scorpio"
"Bell","Joshua",16,"1967-12-09","12","9","Sagittarius"
"Bell","Sean",149,"NA","NA","NA","NA"
"Bellafante","Ginia",2,"1965-03-31","3","31","Aries"
"Bellamy","Carol",1,"1942-01-14","1","14","Capricorn"
"Belle","Albert",0,"1966-08-25","8","25","Virgo"
"Bellow","Saul",21,"1915-06-10","6","10","Gemini"
"Bemba","Jean-Pierre",14,"1962-11-04","11","4","Scorpio"
"Benedict XVI","NA",366,"1927-04-16","4","16","Aries"
"Benes","Andy",0,"1967-08-20","8","20","Leo"
"Benigni","Roberto",2,"1952-10-27","10","27","Scorpio"
"Bening","Annette",14,"1958-05-29","5","29","Gemini"
"Benitez","Armando",1,"1972-11-03","11","3","Scorpio"
"Benjamin","Daniel",4,"NA","NA","NA","NA"
"Bennett","Alan",16,"1934-05-09","5","9","Taurus"
"Bennett","John O",1,"1948-08-06","8","6","Leo"
"Bennett","Robert S",2,"1939-01-01","1","1","Capricorn"
"Bennett","Tony",18,"1926-08-03","8","3","Leo"
"Bennett","William J",4,"1943-07-31","7","31","Leo"
"Bentley","Eric",2,"NA","NA","NA","NA"
"Berard","Bryan",1,"NA","NA","NA","NA"
"Berenson","Alex",6,"NA","NA","NA","NA"
"Berenson","Lori Helene",2,"1969-11-13","11","13","Scorpio"
"Berezhnaya","Yelena",0,"1977-10-11","10","11","Libra"
"Berezovsky","Boris A",9,"NA","NA","NA","NA"
"Berg","Alban",6,"1885-02-09","2","9","Aquarius"
"Bergen","Candice",4,"1946-05-09","5","9","Taurus"
"Berger","Samuel R",5,"1945-10-28","10","28","Scorpio"
"Bergman","Ingmar",14,"1918-07-14","7","14","Cancer"
"Berio","Luciano",10,"1925-10-24","10","24","Scorpio"
"Berisha","Sali",4,"1944-10-15","10","15","Libra"
"Berkoff","Steven",1,"1937-08-03","8","3","Leo"
"Berkow","Ira",1,"1940-01-07","1","7","Capricorn"
"Berkowitz","David",5,"1953-06-01","6","1","Gemini"
"Berle","Milton",1,"1908-07-12","7","12","Cancer"
"Berlin","Irving",9,"1888-05-11","5","11","Taurus"
"Berlin","Isaiah",1,"1909-06-06","6","6","Gemini"
"Berlioz","Hector",11,"1803-12-11","12","11","Sagittarius"
"Berlusconi","Silvio",142,"1936-09-29","9","29","Libra"
"Berman","Howard L",2,"1941-04-15","4","15","Aries"
"Berman","Paul",4,"1949-01-01","1","1","Capricorn"
"Bernanke","Ben S",301,"1953-12-13","12","13","Sagittarius"
"Bernardin","Joseph",0,"1928-04-02","4","2","Aries"
"Bernays","Anne",0,"1930-09-14","9","14","Virgo"
"Bernhard","Sandra",3,"1955-06-06","6","6","Gemini"
"Bernstein","Carl",14,"1944-02-14","2","14","Aquarius"
"Bernstein","Jared",4,"1955-01-01","1","1","Capricorn"
"Bernstein","Leonard",36,"1918-08-25","8","25","Virgo"
"Bernstein","Richard",7,"1944-05-05","5","5","Taurus"
"Berra","Yogi",19,"1925-05-12","5","12","Taurus"
"Berry","Chuck",5,"1926-10-18","10","18","Libra"
"Berry","Halle",5,"1966-08-14","8","14","Leo"
"Berry","Mary Frances",3,"1938-02-17","2","17","Aquarius"
"Bertolucci","Bernardo",2,"1940-03-16","3","16","Pisces"
"Bertuzzi","Todd",5,"1975-02-02","2","2","Aquarius"
"Beschloss","Michael R",0,"1955-11-30","11","30","Sagittarius"
"Betancourt","Ingrid",17,"1961-12-25","12","25","Capricorn"
"Bettis","Jerome",12,"1972-02-16","2","16","Aquarius"
"Bettman","Gary",49,"1952-06-02","6","2","Gemini"
"Bewkes","Jeffrey L",12,"1952-05-25","5","25","Gemini"
"Bezos","Jeffrey P",9,"1964-01-12","1","12","Capricorn"
"Bhagwati","Jagdish",0,"1934-07-26","7","26","Leo"
"Bhumibol Adulyadej","NA",8,"1927-12-05","12","5","Sagittarius"
"Bhutto","Benazir",116,"1953-06-21","6","21","Gemini"
"Biden","Joseph R Jr",199,"1942-11-20","11","20","Scorpio"
"Bildt","Carl",3,"1949-07-15","7","15","Cancer"
"Bilefsky","Dan",0,"NA","NA","NA","NA"
"Billick","Brian",6,"1954-02-28","2","28","Pisces"
"Billington","James H",2,"1929-06-01","6","1","Gemini"
"Bin Laden","Osama",193,"1957-03-10","3","10","Pisces"
"Bing","Rudolf",2,"1902-01-09","1","9","Capricorn"
"Bingaman","Jeff",7,"1943-10-03","10","3","Libra"
"Binoche","Juliette",15,"1964-03-09","3","9","Pisces"
"Bird","Larry",12,"1956-12-07","12","7","Sagittarius"
"Bittman","Mark",10,"1950-01-01","1","1","Capricorn"
"Bizet","Georges",1,"1838-10-25","10","25","Scorpio"
"Bjork","NA",16,"1965-11-21","11","21","Scorpio"
"Black","Conrad M",64,"1944-08-25","8","25","Virgo"
"Blackmun","Harry A",4,"1908-11-12","11","12","Scorpio"
"Blades","Ruben",2,"NA","NA","NA","NA"
"Blagojevich","Rod R",154,"1956-12-10","12","10","Sagittarius"
"Blahnik","Manolo",9,"1942-11-27","11","27","Sagittarius"
"Blaine","David",10,"1973-04-04","4","4","Aries"
"Blair","Cherie",3,"1954-09-23","9","23","Virgo"
"Blair","Tony",291,"1953-05-06","5","6","Taurus"
"Blake","James",59,"NA","NA","NA","NA"
"Blanchett","Cate",26,"1969-05-14","5","14","Taurus"
"Blanco","Kathleen Babineaux",30,"1942-12-15","12","15","Sagittarius"
"Blankfein","Lloyd C",44,"1954-09-20","9","20","Virgo"
"Bledsoe","Drew",14,"1972-02-14","2","14","Aquarius"
"Blessing","Lee",3,"1949-10-04","10","4","Libra"
"Blige","Mary J",17,"1971-01-11","1","11","Capricorn"
"Blinder","Alan S",1,"1945-10-14","10","14","Libra"
"Blix","Hans",2,"1928-06-28","6","28","Cancer"
"Block","Frederic",0,"1934-06-06","6","6","Gemini"
"Block","Lawrence",5,"1938-06-24","6","24","Cancer"
"Blodget","Henry",9,"1966-01-01","1","1","Capricorn"
"Bloom","Claire",0,"1931-02-15","2","15","Aquarius"
"Bloom","Harold",8,"1930-07-11","7","11","Cancer"
"Bloomberg","Michael R",2199,"1942-02-14","2","14","Aquarius"
"Blum","David",2,"NA","NA","NA","NA"
"Blume","Judy",3,"1938-02-12","2","12","Aquarius"
"Blumenthal","Richard",46,"1946-02-13","2","13","Aquarius"
"Blumenthal","Sidney",2,"1948-11-06","11","6","Scorpio"
"Blunkett","David",8,"1947-06-06","6","6","Gemini"
"Boal","Peter",12,"1965-01-01","1","1","Capricorn"
"Bocca","Julio",9,"1967-03-06","3","6","Pisces"
"Bocelli","Andrea",5,"1958-09-22","9","22","Virgo"
"Bochco","Steven",9,"1943-12-16","12","16","Sagittarius"
"Boehner","John A",55,"1949-11-17","11","17","Scorpio"
"Bogart","Anne",7,"1951-09-25","9","25","Libra"
"Bogart","Humphrey",9,"1899-12-25","12","25","Capricorn"
"Bogdanich","Walt",1,"1950-10-10","10","10","Libra"
"Bogdanovich","Peter",10,"1939-07-30","7","30","Leo"
"Boggs","Wade",5,"1958-06-15","6","15","Gemini"
"Bogle","John C",5,"1929-05-08","5","8","Taurus"
"Bogosian","Eric",14,"1953-04-24","4","24","Taurus"
"Boies","David",14,"1941-03-11","3","11","Pisces"
"Bok","Derek",5,"1930-03-22","3","22","Aries"
"Bolcom","William",9,"1938-05-26","5","26","Gemini"
"Bollinger","Lee C",14,"1946-04-30","4","30","Taurus"
"Bolt","Usain",32,"1986-08-21","8","21","Leo"
"Bolten","Joshua B",22,"1954-08-16","8","16","Leo"
"Bolton","John R",122,"1948-11-20","11","20","Scorpio"
"Bon Jovi","Jon",11,"1962-03-02","3","2","Pisces"
"Bond","Christopher S",10,"1939-03-06","3","6","Pisces"
"Bond","Julian",6,"1940-01-14","1","14","Capricorn"
"Bonderman","David",4,"1942-11-27","11","27","Sagittarius"
"Bonds","Barry",378,"1964-07-24","7","24","Leo"
"Bonilla","Bobby",1,"1963-02-23","2","23","Pisces"
"Bonior","David E",0,"1945-06-06","6","6","Gemini"
"Bonnard","Pierre",3,"1867-10-03","10","3","Libra"
"Bonner","Raymond",0,"1942-01-01","1","1","Capricorn"
"Bonney","Barbara",1,"1956-04-14","4","14","Aries"
"Bono","NA",33,"1960-05-10","5","10","Taurus"
"Bono","Sonny",0,"1935-02-16","2","16","Aquarius"
"Booker","Cory A",100,"1969-04-27","4","27","Taurus"
"Boone","Aaron",3,"1973-03-09","3","9","Pisces"
"Boorda","Jeremy M",0,"1939-11-26","11","26","Sagittarius"
"Boot","Max",2,"1969-09-12","9","12","Virgo"
"Boras","Scott",42,"1952-11-02","11","2","Scorpio"
"Borge","Victor",0,"1909-01-03","1","3","Capricorn"
"Bork","Robert H",9,"1927-03-01","3","1","Pisces"
"Borodin","Pavel P",0,"1946-10-25","10","25","Scorpio"
"Borodina","Olga",8,"1963-07-29","7","29","Leo"
"Bosco","Philip",4,"1930-09-26","9","26","Libra"
"Bosman","Julie",1,"NA","NA","NA","NA"
"Bossi","Umberto",0,"1941-09-19","9","19","Virgo"
"Bossidy","Lawrence A",1,"1935-03-05","3","5","Pisces"
"Bostridge","Ian",10,"1964-12-25","12","25","Capricorn"
"Botha","Francois",0,"1968-09-28","9","28","Libra"
"Botha","P W",1,"1916-01-12","1","12","Capricorn"
"Botstein","Leon",36,"1946-12-14","12","14","Sagittarius"
"Bouchard","Lucien",0,"1938-12-22","12","22","Capricorn"
"Boudin","Kathy",2,"1943-05-19","5","19","Taurus"
